    53/199    0.956G   0.04998   0.02822         0    0.0782         6       640    0.5476         1    0.9953    0.6347   0.02096   0.01622         0
    54/199    0.956G   0.05492   0.02844         0   0.08336         9       640     0.395         1    0.9953    0.4443   0.02139   0.01655         0
    55/199    0.956G   0.04584   0.02582         0   0.07166         4       640    0.5016         1    0.9953    0.6109   0.01892   0.01621         0
    56/199    0.956G   0.04401   0.02684         0   0.07086        10       640    0.5312         1    0.9953    0.5693   0.01901   0.01774         0
    57/199    0.956G   0.05061   0.02633         0   0.07694        11       640    0.9973         1    0.9952    0.8418    0.0125   0.01842         0
    58/199    0.956G   0.04346   0.02584         0    0.0693        12       640    0.7711         1    0.9952    0.7215   0.01679   0.01376         0
    59/199    0.956G   0.04418    0.0277         0   0.07189         4       640    0.4143         1    0.9954    0.4799   0.02066    0.0251         0
    60/199    0.956G   0.05198   0.02834         0   0.08031        16       640    0.4473         1     0.885    0.5968   0.01605   0.01425         0
    61/199    0.956G   0.04548   0.02614         0   0.07162        16       640    0.5853         1    0.9955    0.5667   0.01859   0.01543         0
    62/199    0.956G   0.04689   0.02485         0   0.07174         4       640    0.6504         1    0.9955    0.8134   0.01514     0.013         0
    63/199    0.956G   0.03821   0.02172         0   0.05993        10       640    0.9973         1    0.9955    0.7642   0.01517   0.01337         0
    64/199    0.956G    0.0472   0.02556         0   0.07276         4       640    0.9973         1    0.9955    0.7184   0.01266   0.01403         0
    65/199    0.956G   0.04218   0.02628         0   0.06846         6       640    0.9973         1    0.9954    0.7994    0.0123   0.01292         0
    66/199    0.956G   0.04315   0.02576         0   0.06891        16       640    0.7746         1    0.8786     0.658    0.0141   0.01673         0
    67/199    0.956G   0.04484   0.02702         0   0.07185        16       640    0.9973         1    0.9954     0.756   0.01784   0.01451         0
    68/199    0.956G    0.0473   0.02852         0   0.07582         4       640    0.5853         1    0.9954    0.8883    0.0143   0.01349         0
    69/199    0.956G   0.04472   0.02382         0   0.06854         6       640    0.6604         1    0.9927    0.7259   0.01715   0.01463         0
    70/199    0.956G   0.04585     0.025         0   0.07085         5       640    0.9974         1    0.9953    0.7401   0.01439   0.01232         0
    71/199    0.956G    0.0417   0.02191         0   0.06361         4       640    0.9974         1    0.9952    0.7967  0.009864   0.01178         0
    72/199    0.956G   0.03957   0.02185         0   0.06143         5       640    0.9974         1    0.9953    0.7173   0.01437   0.01342         0
    73/199    0.956G   0.04014   0.02114         0   0.06128        12       640    0.9974         1    0.9954    0.9248   0.01065   0.01177         0
    74/199    0.956G   0.03444   0.02382         0   0.05826        16       640    0.5853         1     0.992    0.8775   0.01171   0.01218         0
    75/199    0.956G   0.03977   0.02275         0   0.06251         6       640    0.9974         1    0.9954    0.6323   0.01619   0.01691         0
    76/199    0.956G   0.03714   0.02441         0   0.06155         4       640    0.5853         1    0.9955    0.8631   0.01364   0.01527         0
    77/199    0.956G   0.03911    0.0197         0   0.05881        10       640    0.5823         1    0.9957    0.7436   0.01639   0.01285         0
    78/199    0.956G   0.04299   0.02731         0   0.07031         5       640    0.6789         1    0.9955    0.7246   0.01473   0.01881         0
